Dates,Depression Score,OCD Score,Anxiety Score
6/14/17 15:05,0,10.52631579,0
6/14/17 15:09,0,0,7.692307692
6/14/17 19:07,0,0,0
6/14/17 19:12,7.142857143,0,0
6/14/17 19:21,0,14.28571429,0
6/14/17 19:21,0,0,0
6/14/17 19:27,0,7.692307692,0
6/15/17 6:26,4.545454545,4.545454545,0
6/15/17 8:27,0,0,0
6/15/17 18:53,5,10,0
6/15/17 19:17,0,0,0
6/15/17 19:42,0,13.04347826,4.347826087
6/15/17 19:43,13.04347826,8.695652174,0
6/15/17 19:54,0,0,0
6/15/17 20:02,8,4,0
6/15/17 20:06,0,4.545454545,0
6/16/17 6:01,5.882352941,17.64705882,5.882352941
6/16/17 6:02,0,5.882352941,0
6/16/17 6:07,0,0,0
6/16/17 7:33,0,0,0
6/16/17 8:01,0,0,0
6/16/17 20:13,8.333333333,0,0
6/17/17 9:21,0,0,0
6/17/17 9:30,10,10,20
6/17/17 9:46,0,0,0
6/17/17 18:33,0,0,0
6/18/17 6:58,0,5,5
6/18/17 9:52,0,0,0
6/18/17 15:55,5,0,0
6/18/17 15:57,0,7.692307692,0
6/18/17 16:19,0,0,0
6/18/17 16:32,0,4.545454545,0
6/18/17 16:40,0,7.692307692,0
6/18/17 18:09,0,0,0
6/18/17 18:28,9.090909091,4.545454545,4.545454545
6/18/17 18:36,0,8.333333333,8.333333333
6/18/17 18:41,0,5,0
6/18/17 18:43,0,11.11111111,16.66666667
6/18/17 19:07,21.42857143,7.142857143,7.142857143
6/18/17 19:08,6.25,6.25,0
6/18/17 19:13,0,0,0
6/18/17 19:33,0,0,0
6/18/17 19:40,16.66666667,0,0
6/18/17 19:57,4.761904762,4.761904762,4.761904762
6/18/17 21:05,0,12.5,0
6/18/17 21:31,8.695652174,4.347826087,4.347826087
6/19/17 6:16,0,0,0
6/19/17 6:25,6.666666667,6.666666667,0
6/19/17 6:30,0,4.761904762,4.761904762
6/19/17 9:18,4.761904762,4.761904762,4.761904762
6/19/17 10:02,0,0,0
6/19/17 11:55,0,5.263157895,0
6/19/17 12:26,5,0,0
6/19/17 12:45,7.692307692,7.692307692,0
6/19/17 13:48,11.76470588,0,0
6/19/17 15:13,0,0,0
6/19/17 19:46,33.33333333,0,0
6/19/17 19:51,5,10,5
6/19/17 19:54,0,10,0
6/19/17 19:56,0,0,0
6/19/17 21:31,14.28571429,28.57142857,14.28571429
6/20/17 6:37,0,4.347826087,0
6/20/17 6:48,6.666666667,0,0
6/20/17 8:10,0,0,0
6/20/17 10:13,0,12.5,0
6/20/17 11:14,12.5,0,0
6/20/17 13:46,0,8.333333333,0
6/20/17 19:47,0,0,0
6/20/17 19:49,0,0,0
6/21/17 7:42,0,0,0
6/21/17 12:30,0,0,4.347826087
6/21/17 15:36,0,7.142857143,0
6/21/17 17:59,0,0,4.761904762
6/21/17 18:21,0,9.090909091,0
6/21/17 18:25,0,0,11.11111111
6/21/17 18:35,0,4.166666667,0
6/21/17 19:14,0,5.882352941,0
6/21/17 19:17,0,0,0
6/21/17 19:21,5.263157895,0,0
6/21/17 20:47,0,0,0
6/22/17 9:50,0,0,0
6/22/17 14:32,0,0,0
6/22/17 14:39,0,0,0
6/22/17 14:42,12.5,0,6.25
6/22/17 14:47,0,0,0
6/22/17 15:06,0,4.347826087,0
6/22/17 16:56,0,0,0
6/22/17 20:31,9.090909091,27.27272727,0
